dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-08-01,131,0,2,0,0,0,0,0,0,2,3,930,135,3
2016-09-01,26,0,2,0,0,0,0,0,0,1,3,351,65,1
2016-10-01,2,2,1,0,0,0,0,0,0,0,0,107,17,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,84,14,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,93,9,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,52,9,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,48,3,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,75,11,1
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,145,20,0
2017-05-01,2,0,1,0,0,0,0,0,0,0,0,137,19,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,89,18,1
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,53,7,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,42,3,0
2017-09-01,2,0,1,0,0,0,0,0,0,0,0,37,7,1
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,27,4,1
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,42,4,0
2017-12-01,9,0,1,0,0,0,0,0,0,0,0,59,11,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,59,8,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,26,5,0
2018-03-01,0,0,0,1,0,0,0,0,1,0,0,67,7,0
2018-04-01,0,0,0,2,1,0,0,0,1,1,0,38,6,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,49,8,0
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,32,6,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,33,7,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,32,6,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,23,3,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,14,2,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,24,3,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,25,8,0
2019-02-01,0,0,0,0,0,0,0,0,0,0,0,12,2,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,16,2,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,14,2,0
2019-06-01,1,0,1,0,0,0,0,0,0,0,0,79,14,0
