dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2013-12-01,24,0,1,0,0,0,0,0,0,0,0,0,0,1
2014-01-01,45,0,4,3,0,2,1,6,3,2,5,464,33,1
2014-02-01,3,0,2,1,0,2,1,2,0,3,1,90,5,1
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,63,1,1
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,9,2,1
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,13,0,1
2014-06-01,0,0,0,0,0,0,0,0,1,0,3,8,1,2
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,14,2,2
2014-08-01,0,0,0,0,0,0,0,0,0,0,0,13,2,1
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,7,1,1
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,13,0,2
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,6,2,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,24,2,3
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,23,2,1
2015-02-01,0,0,0,1,0,0,0,0,1,0,0,7,1,1
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,12,2,1
2015-04-01,0,0,0,0,0,0,0,0,0,0,0,11,1,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,9,0,0
2015-08-01,2,0,1,1,0,0,0,0,0,0,0,10,1,1
2015-09-01,5,0,2,2,0,3,1,0,0,3,0,13,3,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,7,2,0
2015-11-01,0,0,0,0,0,0,0,0,0,1,4,16,2,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,1,2,40,5,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,16,0,0
2016-03-01,4,0,1,1,0,0,0,0,0,0,0,21,3,2
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,22,7,0
2016-05-01,0,0,0,1,0,0,0,1,1,0,1,24,1,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,16,1,1
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2016-08-01,4,0,1,1,0,0,0,0,0,0,0,9,2,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,16,3,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,19,3,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,25,6,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,21,5,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,33,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,16,3,1
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,12,2,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,16,0,0
2017-07-01,0,0,0,0,0,0,0,0,1,0,0,17,3,0
2017-08-01,6,0,4,3,0,3,1,0,0,4,0,581,27,0
2017-09-01,1,0,1,1,0,0,0,2,0,0,0,48,6,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,32,5,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,35,3,0
2017-12-01,0,0,0,0,0,0,0,0,1,1,2,30,3,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,22,3,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,22,2,0
2018-04-01,0,0,0,1,0,0,0,2,0,0,0,18,1,1
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,16,2,0
2018-06-01,1,0,1,1,0,0,0,1,0,0,0,16,2,0
2018-07-01,2,0,2,3,0,0,0,9,0,0,0,15,6,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,17,2,1
2018-09-01,2,0,1,1,0,0,0,0,0,0,0,21,2,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,23,4,0
2018-11-01,0,0,0,1,1,0,0,4,0,1,2,13,3,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,29,4,1
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,38,3,0
2019-02-01,0,0,0,0,0,0,0,0,0,0,0,15,2,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,13,4,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,16,2,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,31,1,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,15,1,0
2019-08-01,9,0,1,0,2,7,1,14,1,15,26,638,36,1
