dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2013-05-01,8,1,1,0,0,0,0,0,0,0,0,16,0,5
2013-06-01,10,0,1,0,0,0,0,0,0,0,0,43,3,4
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,7,1,4
2013-08-01,88,3,4,8,1,6,1,17,0,16,13,37,8,1
2013-09-01,67,9,2,5,1,4,1,12,0,7,18,21,1,3
2013-10-01,24,1,1,0,0,0,0,0,0,3,8,16,4,3
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,27,8,4
2013-12-01,90,0,5,1,0,1,1,2,0,3,4,32,9,5
2014-01-01,117,0,7,3,0,2,1,10,0,11,52,34,15,1
2014-02-01,93,0,6,6,1,3,1,22,1,9,31,36,14,2
2014-03-01,2,0,1,1,0,0,0,11,0,2,6,29,13,2
2014-04-01,7,0,3,2,0,1,1,3,0,12,49,59,17,2
2014-05-01,0,0,0,0,0,0,0,0,0,3,2,30,18,4
2014-06-01,2,0,2,1,0,1,1,14,1,2,31,29,19,2
2014-07-01,1,0,1,0,0,1,1,3,0,2,4,38,17,3
2014-08-01,0,0,0,0,0,0,0,0,0,2,21,22,14,6
2014-09-01,5,0,4,2,0,2,1,4,0,6,10,26,17,0
2014-10-01,18,0,5,8,0,7,2,29,0,19,86,53,18,1
2014-11-01,0,0,0,0,1,0,0,4,0,2,4,31,17,4
2014-12-01,7,0,3,2,0,2,1,4,0,3,5,40,15,0
2015-01-01,1,0,1,3,2,0,0,17,0,5,9,45,19,0
2015-02-01,0,0,0,3,1,0,0,6,0,2,2,30,14,3
2015-03-01,0,0,0,0,0,0,0,0,0,2,3,36,13,5
2015-04-01,1,0,1,1,0,0,0,5,0,0,0,35,12,2
2015-05-01,0,0,0,0,0,0,0,0,1,1,12,49,23,4
2015-06-01,16,0,4,5,2,4,1,28,0,12,28,45,27,2
2015-07-01,4,0,1,0,2,0,0,4,0,4,7,68,21,2
2015-08-01,1,0,1,1,0,0,0,3,0,1,2,52,26,0
2015-09-01,13,0,4,7,1,6,2,73,0,9,54,49,20,4
2015-10-01,5,2,3,3,2,1,1,59,0,6,37,43,24,1
2015-11-01,0,0,0,0,1,0,0,3,1,1,8,47,15,1
2015-12-01,2,0,2,3,0,0,0,11,0,0,0,39,22,2
2016-01-01,0,0,0,0,1,0,0,7,0,2,11,41,18,2
2016-02-01,21,0,5,5,1,7,1,42,0,11,28,39,25,1
2016-03-01,7,2,3,4,1,1,1,20,0,6,12,54,30,1
2016-04-01,2,0,1,3,2,0,0,14,0,4,11,52,22,2
2016-05-01,0,0,0,1,0,0,0,5,0,1,32,35,19,2
2016-06-01,28,0,1,5,0,8,1,43,0,33,80,44,16,1
2016-07-01,14,3,3,3,2,3,3,7,0,25,56,45,24,2
2016-08-01,10,0,5,5,3,5,2,35,0,13,37,66,20,0
