dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-03-01,3,0,1,0,0,0,0,0,0,0,0,0,0,6
2014-04-01,25,0,1,0,0,0,0,0,0,0,0,1,0,5
2014-05-01,14,0,1,0,0,0,0,0,0,0,0,0,0,1
2014-06-01,20,0,1,0,0,0,0,0,1,0,2,5,0,6
2014-07-01,35,0,4,2,0,2,1,2,0,21,7,8,1,6
2014-08-01,122,0,4,3,1,2,2,0,0,8,0,5,2,4
2014-09-01,124,0,2,0,0,0,0,0,0,19,7,6,0,3
2014-10-01,154,0,4,4,0,4,3,0,2,85,205,12,1,6
2014-11-01,421,0,4,5,1,4,2,20,0,58,98,8,2,3
2014-12-01,28,0,4,3,2,1,1,8,0,26,63,19,3,0
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,19,1,1
2015-02-01,18,0,2,1,0,1,1,4,0,5,9,13,4,1
2015-03-01,159,0,2,2,0,2,1,0,0,16,43,4,5,2
2015-04-01,55,0,1,0,0,0,0,0,0,17,13,3,0,1
2015-05-01,36,0,1,0,0,0,0,0,0,0,0,5,0,1
2015-06-01,1,0,1,0,0,0,0,0,0,1,3,3,0,4
2015-07-01,0,0,0,0,0,0,0,0,0,40,23,7,1,0
2015-08-01,0,0,0,0,0,0,0,0,0,6,1,0,0,2
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2015-10-01,5,0,1,0,0,0,0,0,0,0,0,1,0,4
2015-11-01,56,0,1,0,0,0,0,0,0,11,79,4,1,4
2015-12-01,43,0,1,0,0,0,0,0,1,1,7,2,3,1
2016-01-01,95,0,2,2,1,1,1,34,0,2,17,7,5,3
2016-02-01,110,0,1,0,0,0,0,0,0,3,5,17,0,2
2016-03-01,118,0,2,1,0,1,1,0,0,4,9,18,4,7
2016-04-01,220,0,5,7,3,4,1,26,1,46,214,55,8,5
2016-05-01,208,0,2,1,1,0,0,2,0,39,96,35,9,4
2016-06-01,193,0,5,3,0,3,1,8,1,37,132,31,9,0
2016-07-01,265,0,3,3,2,1,1,4,1,35,219,42,8,3
2016-08-01,158,0,3,1,0,1,1,2,0,29,106,61,16,1
2016-09-01,47,0,3,1,0,1,1,2,0,7,27,13,12,1
2016-10-01,165,0,10,8,2,5,1,43,0,80,311,23,5,2
2016-11-01,63,0,5,10,2,6,1,34,0,13,21,21,7,3
2016-12-01,80,0,5,1,0,0,0,0,1,21,134,17,9,3
2017-01-01,48,0,6,1,1,1,1,2,0,11,49,30,7,1
2017-02-01,157,0,7,4,1,4,1,13,0,18,25,36,10,2
2017-03-01,274,0,5,0,0,0,0,0,0,31,101,23,10,4
2017-04-01,152,0,4,0,0,0,0,0,1,6,6,19,6,1
2017-05-01,94,0,2,0,0,0,0,0,0,7,28,53,6,2
2017-06-01,227,0,5,2,0,1,1,6,0,10,30,60,9,1
2017-07-01,210,0,6,9,4,5,1,43,0,39,121,632,38,2
2017-08-01,25,0,5,8,1,4,1,42,1,11,23,78,28,1
2017-09-01,91,0,7,3,3,2,1,6,0,41,136,61,29,3
2017-10-01,174,0,9,9,7,2,1,6,1,29,59,59,31,1
2017-11-01,199,0,10,5,3,3,1,54,1,34,121,90,31,1
2017-12-01,200,0,14,14,1,5,2,20,12,55,456,190,53,6
2018-01-01,243,0,11,25,14,13,2,124,8,121,546,162,50,4
2018-02-01,347,0,15,60,18,42,3,183,3,113,449,97,38,7
2018-03-01,251,0,9,44,4,45,3,78,1,70,181,79,18,1
2018-04-01,210,0,6,22,9,16,3,83,1,34,140,35,14,4
2018-05-01,81,0,4,13,2,10,3,19,1,30,90,44,10,1
2018-06-01,93,0,5,14,2,13,1,43,0,26,80,43,11,0
2018-07-01,97,0,5,5,0,5,2,56,0,12,54,46,7,1
2018-08-01,113,0,4,22,2,21,2,7,0,29,27,25,7,0
2018-09-01,257,0,22,57,5,31,3,212,1,91,403,38,41,1
2018-10-01,347,0,18,68,15,52,2,318,4,102,278,41,28,1
2018-11-01,494,0,16,75,24,48,3,322,2,156,364,81,26,1
2018-12-01,262,0,21,89,30,58,2,221,4,164,499,33,34,1
2019-01-01,336,0,21,88,24,70,2,244,6,262,1240,56,33,0
2019-02-01,335,0,22,86,7,81,2,329,5,135,450,28,20,0
2019-03-01,411,0,16,68,7,74,2,229,15,155,495,36,14,0
2019-04-01,249,0,10,79,10,57,2,169,24,135,478,35,21,0
2019-05-01,69,0,7,17,4,17,3,23,3,50,189,32,14,0
2019-06-01,57,0,10,28,2,11,2,77,6,40,173,38,19,0
2019-07-01,151,0,20,50,16,45,2,249,11,107,370,42,24,0
2019-08-01,237,0,15,82,15,66,3,404,20,138,566,41,22,1
2019-09-01,251,0,21,95,12,72,3,460,26,145,566,36,32,0
2019-10-01,50,0,14,47,10,24,2,144,47,143,477,42,26,0
2019-11-01,306,0,19,107,25,92,3,532,44,198,779,44,19,0
2019-12-01,179,0,12,63,16,42,3,331,64,119,592,28,22,0
2020-01-01,7,0,2,2,3,7,2,24,3,15,32,3,2,0
