dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-02-01,113,0,1,12,0,12,1,0,0,12,0,7,0,1
2017-03-01,65,0,1,8,0,7,1,0,0,7,0,2,0,0
2017-04-01,180,0,9,26,3,22,1,111,0,28,51,964,29,2
2017-05-01,216,0,5,45,5,39,2,258,0,60,160,157,9,0
2017-06-01,248,0,5,36,4,34,2,185,0,51,144,36,2,1
2017-07-01,358,0,4,65,6,58,4,323,0,123,302,20,2,0
2017-08-01,257,0,9,37,3,33,2,162,4,66,167,765,25,1
2017-09-01,163,0,7,43,5,31,1,237,0,47,124,219,12,1
2017-10-01,196,0,7,35,5,33,1,242,5,49,165,48,8,0
2017-11-01,112,0,6,25,1,29,2,210,1,47,179,42,2,0
2017-12-01,26,0,4,11,0,7,3,54,0,11,26,177,3,0
2018-01-01,85,0,4,15,1,16,3,97,6,33,131,32,3,1
2018-02-01,114,0,4,10,0,11,1,51,3,20,54,24,4,0
2018-03-01,87,0,6,17,0,17,1,88,3,36,124,26,4,1
2018-04-01,45,0,5,13,2,11,3,100,3,17,59,51,2,0
2018-05-01,37,0,3,14,0,9,3,56,4,15,54,31,1,1
2018-06-01,36,0,4,8,2,9,2,56,0,14,35,34,3,0
2018-07-01,97,0,5,17,1,11,2,71,2,13,39,35,0,0
2018-08-01,67,0,4,17,2,14,2,80,2,18,45,13,2,0
2018-09-01,78,0,3,14,1,14,2,33,0,15,20,17,2,0
2018-10-01,8,0,4,4,0,5,1,11,1,5,15,11,3,0
2018-11-01,15,0,4,6,2,7,1,29,0,12,21,16,2,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,17,2,0
2019-01-01,8,0,2,1,0,1,1,2,0,2,2,10,1,0
2019-02-01,0,0,0,1,1,0,0,2,0,1,1,18,2,0
2019-03-01,5,0,1,1,0,1,1,8,1,5,8,17,2,0
2019-04-01,6,0,3,4,0,3,1,6,1,3,3,21,3,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,17,1,0
2019-06-01,9,0,2,3,0,2,1,25,2,3,15,23,3,0
2019-07-01,8,0,3,2,1,3,1,12,0,16,50,22,4,0
2019-08-01,0,0,0,1,0,0,0,12,0,0,0,21,5,0
2019-09-01,12,0,3,6,1,6,2,46,1,7,31,21,3,0
2019-10-01,30,0,2,9,1,7,1,43,2,15,45,30,1,0
2019-11-01,12,0,2,5,0,3,1,16,2,3,9,16,1,0
2019-12-01,37,0,2,12,1,11,1,30,1,14,22,18,2,0
