dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,42,0,1,0,0,0,0,0,0,9,16,31,5,1
2016-03-01,12,0,2,3,2,1,1,24,0,10,37,21,6,0
2016-04-01,0,0,0,0,0,0,0,0,0,1,3,30,3,0
2016-05-01,4,0,1,0,0,0,0,0,0,5,12,18,6,2
2016-06-01,7,0,2,1,0,0,0,1,0,3,7,18,2,0
2016-07-01,1,0,1,2,2,1,1,5,0,3,3,19,2,0
2016-08-01,3,0,1,0,0,0,0,0,0,2,7,20,6,2
2016-09-01,27,0,1,1,0,0,0,10,0,8,75,22,8,2
2016-10-01,45,0,3,1,0,0,0,1,0,6,28,23,3,0
2016-11-01,10,1,2,1,0,1,1,0,0,3,19,30,5,0
2016-12-01,88,2,3,1,2,1,1,11,0,15,35,15,3,0
2017-01-01,152,13,4,34,4,29,1,14,0,67,220,41,11,0
2017-02-01,105,0,2,35,4,32,1,12,0,59,142,48,9,0
2017-03-01,66,0,2,31,7,24,1,26,0,45,73,48,7,1
2017-04-01,44,0,5,46,9,35,1,62,0,63,105,54,11,0
2017-05-01,32,0,4,23,7,14,1,65,0,39,127,44,11,0
2017-06-01,29,0,2,27,8,19,1,123,0,37,115,50,15,0
2017-07-01,22,0,4,21,2,21,1,18,0,34,65,61,12,0
2017-08-01,21,0,2,16,2,13,1,8,0,25,75,53,8,0
2017-09-01,39,0,3,21,3,20,1,30,0,31,66,64,16,0
2017-10-01,63,3,11,46,5,41,1,82,0,76,179,72,27,1
2017-11-01,48,0,5,40,1,36,1,67,0,64,133,79,15,0
2017-12-01,35,0,8,24,4,22,1,17,0,40,70,52,12,1
2018-01-01,33,0,7,23,2,22,1,34,0,39,127,73,16,0
2018-02-01,32,4,2,8,3,5,1,31,0,30,82,64,14,0
2018-03-01,13,2,3,9,1,3,1,7,0,24,68,97,26,0
2018-04-01,9,0,3,5,3,3,1,15,1,22,113,100,13,0
2018-05-01,10,0,1,4,2,0,0,1,0,7,20,82,25,0
2018-06-01,25,2,4,9,8,5,1,69,1,33,208,66,20,0
2018-07-01,7,2,1,8,10,0,0,48,0,19,93,81,18,0
2018-08-01,18,0,2,13,0,3,1,40,0,26,123,90,17,0
2018-09-01,9,0,3,7,8,2,1,18,0,18,49,90,20,0
2018-10-01,12,0,2,5,5,0,0,21,0,23,92,79,25,1
2018-11-01,7,0,3,4,8,1,1,33,0,20,98,63,23,0
2018-12-01,20,0,4,17,8,12,2,45,0,26,57,79,19,0
2019-01-01,34,0,2,22,1,20,1,10,0,31,45,93,26,1
2019-02-01,42,0,4,27,2,26,2,16,0,44,148,97,19,0
2019-03-01,35,0,4,21,2,19,2,10,0,41,108,109,36,0
2019-04-01,32,0,3,26,4,22,2,24,0,38,64,77,24,0
2019-05-01,27,0,7,21,3,16,2,38,1,26,40,90,30,0
2019-06-01,31,0,5,19,0,20,2,5,0,31,45,75,16,0
2019-07-01,30,0,1,30,1,30,1,7,3,41,77,92,20,0
2019-08-01,31,0,4,27,1,26,2,30,0,47,73,79,35,0
2019-09-01,35,0,3,29,1,28,2,10,1,40,58,72,25,0
2019-10-01,27,0,5,28,3,25,2,44,4,36,108,99,23,1
2019-11-01,29,0,5,27,1,26,2,52,2,31,36,89,39,0
2019-12-01,64,0,7,43,2,38,2,76,5,53,157,74,26,0
2020-01-01,1,0,1,0,0,1,1,0,0,1,0,3,2,0
