dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-10-01,3,0,1,0,0,0,0,0,0,0,0,31,2,0
2016-11-01,9,0,1,2,0,2,1,0,0,2,0,13,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,9,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2017-04-01,7,0,1,1,0,1,1,0,0,1,0,12,0,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2017-06-01,6,0,1,1,0,1,1,0,0,1,0,3,1,1
2017-07-01,31,0,1,0,0,0,0,0,0,0,0,12,0,1
2017-08-01,71,1,2,5,1,4,1,10,1,9,14,38,3,0
2017-09-01,50,1,5,9,0,9,1,30,0,18,37,57,6,0
2017-10-01,58,0,4,8,0,6,1,15,0,9,10,86,6,0
2017-11-01,21,0,3,3,1,3,1,26,1,11,41,53,4,1
2017-12-01,23,0,4,9,2,7,1,20,0,23,76,34,4,0
2018-01-01,27,0,5,8,0,7,1,22,0,22,55,58,5,0
2018-02-01,10,0,5,4,0,3,1,5,1,11,38,83,5,0
2018-03-01,3,0,3,2,0,1,1,2,0,2,2,50,4,0
2018-04-01,12,0,5,13,0,11,2,14,1,22,69,70,4,0
2018-05-01,31,2,7,25,4,24,2,34,2,47,100,109,8,1
2018-06-01,9,0,8,11,1,8,2,16,7,18,88,245,11,0
2018-07-01,14,0,5,18,3,11,2,37,3,34,92,102,5,0
2018-08-01,6,0,4,7,1,6,2,9,1,14,34,49,7,0
2018-09-01,7,0,4,6,0,6,2,6,5,10,59,83,9,0
2018-10-01,16,0,9,11,0,12,1,10,10,22,51,87,9,0
2018-11-01,8,0,7,8,2,6,1,26,7,16,56,125,16,0
2018-12-01,16,0,8,19,5,14,2,61,8,33,129,105,12,0
2019-01-01,23,2,11,22,2,19,2,88,10,32,162,145,25,1
2019-02-01,12,1,7,13,3,12,2,89,17,31,205,99,14,2
2019-03-01,19,4,14,26,3,18,2,173,15,46,345,141,42,0
2019-04-01,14,0,11,24,4,12,3,100,18,26,107,137,35,0
2019-05-01,9,0,7,7,1,9,2,31,9,27,170,124,17,0
2019-06-01,7,2,5,15,1,5,2,88,26,8,159,115,36,0
2019-07-01,13,0,10,11,1,13,2,30,31,22,238,138,39,0
2019-08-01,7,3,4,2,1,3,2,13,18,13,114,114,36,0
2019-09-01,1,0,1,7,2,1,1,58,17,10,131,101,23,0
2019-10-01,14,0,14,20,5,13,2,50,19,25,117,115,31,0
2019-11-01,11,0,9,12,3,8,1,28,24,19,266,105,29,0
2019-12-01,14,0,8,22,4,12,3,9,27,37,60,77,18,0
2020-01-01,3,0,3,0,0,3,1,0,1,3,0,3,1,0
