dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-10-01,28,0,2,4,1,3,1,0,0,5,0,1,2,3
2015-11-01,64,0,8,17,1,14,1,38,5,19,192,15,8,2
2015-12-01,13,0,3,4,1,4,1,46,2,5,34,5,3,8
2016-01-01,5,0,4,2,0,2,1,4,5,3,109,6,2,10
2016-02-01,9,0,7,3,0,3,2,25,1,7,125,6,3,9
2016-03-01,1,0,1,1,0,0,0,0,8,2,124,7,1,9
2016-04-01,2,0,1,0,0,2,1,1,11,3,142,6,2,5
2016-05-01,19,0,5,3,0,1,1,23,1,2,3,11,2,1
2016-06-01,4,0,3,3,1,2,1,4,9,7,150,16,5,6
2016-07-01,1,0,1,1,0,1,1,16,5,4,114,9,2,9
2016-08-01,0,0,0,0,0,0,0,0,4,0,40,18,7,7
2016-09-01,0,0,0,0,0,0,0,0,3,4,64,16,3,9
2016-10-01,2,0,2,1,0,1,1,2,8,3,293,36,7,10
2016-11-01,4,0,3,2,0,2,2,0,7,5,105,24,5,8
2016-12-01,2,0,2,2,0,0,0,25,3,0,19,23,3,7
2017-01-01,1,0,1,5,0,0,0,48,3,1,38,24,3,6
2017-02-01,45,0,10,15,2,7,3,330,4,19,193,23,5,7
2017-03-01,20,0,5,7,0,2,2,12,8,4,795,47,10,9
2017-04-01,41,0,8,15,1,10,2,244,5,12,441,40,10,10
2017-05-01,38,0,9,17,0,9,2,133,6,11,154,88,22,11
2017-06-01,32,0,7,12,1,7,2,65,4,11,259,157,18,5
2017-07-01,28,0,9,13,1,8,3,246,8,11,218,139,31,5
2017-08-01,36,0,8,16,1,5,1,288,3,14,135,105,26,13
2017-09-01,33,0,11,10,2,3,3,462,11,8,738,144,34,10
2017-10-01,15,0,7,12,2,2,1,72,11,7,432,176,32,9
2017-11-01,46,0,8,12,8,8,3,303,11,26,1085,148,31,4
2017-12-01,70,0,13,17,1,19,3,200,10,25,249,244,38,14
2018-01-01,116,0,16,38,6,33,6,336,9,42,348,290,70,16
2018-02-01,88,0,14,30,7,13,4,779,15,25,951,297,78,8
2018-03-01,126,0,18,31,10,27,3,648,11,48,1179,254,76,9
2018-04-01,68,0,27,64,8,61,3,825,15,77,965,295,73,14
2018-05-01,47,0,19,59,4,43,2,424,16,52,313,228,75,6
2018-06-01,42,0,23,42,8,35,3,494,17,47,953,208,72,4
2018-07-01,51,0,23,69,8,51,3,219,20,61,331,188,59,3
2018-08-01,52,0,26,63,5,49,2,208,15,57,224,209,75,8
2018-09-01,96,0,29,58,7,44,5,218,24,71,530,153,68,3
2018-10-01,67,0,36,53,16,58,4,211,18,79,324,152,64,1
2018-11-01,50,0,23,76,14,40,5,178,20,56,115,149,77,2
2018-12-01,23,0,15,30,4,19,4,86,17,24,102,103,50,3
2019-01-01,47,0,16,47,5,28,4,250,14,39,172,104,53,3
2019-02-01,26,0,10,41,5,22,4,111,10,28,61,84,34,3
2019-03-01,95,0,31,82,26,87,4,510,12,127,521,87,57,1
2019-04-01,59,0,24,76,9,54,4,302,17,70,279,73,40,0
2019-05-01,80,0,29,92,14,75,5,523,10,98,381,79,42,1
2019-06-01,46,0,21,54,8,46,5,267,18,59,211,65,36,1
2019-07-01,44,0,26,52,7,44,5,320,18,61,339,59,42,1
2019-08-01,15,0,13,28,2,15,3,143,14,18,119,61,50,1
2019-09-01,18,0,8,27,1,18,4,112,18,30,128,61,39,1
2019-10-01,14,0,10,27,3,14,4,138,13,18,125,47,41,2
2019-11-01,46,0,23,61,23,46,4,226,21,69,165,41,36,0
2019-12-01,32,0,16,34,4,32,4,197,17,40,184,51,36,1
