dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-01-01,6,0,1,0,0,0,0,0,0,0,0,153,7,5
2015-02-01,84,0,1,0,0,0,0,0,1,5,26,104,10,1
2015-03-01,1,0,1,0,0,0,0,0,3,4,22,69,10,3
2015-04-01,0,0,0,1,0,0,0,2,2,4,25,79,20,2
2015-05-01,43,0,2,0,1,0,0,2,0,14,24,99,21,2
2015-06-01,23,0,2,1,1,0,0,2,5,12,25,101,23,2
2015-07-01,14,0,1,1,0,1,1,0,1,2,0,122,23,3
2015-08-01,19,0,4,2,1,0,0,7,4,11,38,107,27,3
2015-09-01,62,0,3,2,3,0,0,15,3,14,36,97,7,4
2015-10-01,52,0,3,3,3,0,0,4,3,46,142,92,11,2
2015-11-01,27,0,2,2,2,0,0,14,3,9,40,129,24,5
2015-12-01,4,0,1,2,2,0,0,4,2,6,24,111,16,5
2016-01-01,2,0,1,0,0,0,0,0,8,3,31,92,20,0
2016-02-01,11,0,1,0,0,0,0,0,8,17,57,93,17,0
2016-03-01,21,0,2,1,0,1,1,0,7,14,47,127,34,5
2016-04-01,8,0,1,1,0,0,0,0,7,8,38,144,25,2
2016-05-01,37,0,1,0,0,0,0,0,10,10,54,145,24,3
2016-06-01,11,0,1,1,2,0,0,2,4,11,47,141,34,0
2016-07-01,21,0,1,1,1,0,0,2,4,20,93,121,35,0
2016-08-01,2,0,1,0,0,0,0,0,4,8,47,108,20,0
2016-09-01,9,0,2,0,0,0,0,0,5,1,17,117,18,0
2016-10-01,18,0,1,0,0,0,0,0,3,6,32,107,20,1
2016-11-01,15,0,1,0,0,0,0,0,3,8,31,111,21,1
2016-12-01,9,0,3,3,2,1,1,8,3,4,11,96,8,3
2017-01-01,11,0,1,0,0,0,0,0,6,6,27,73,5,1
2017-02-01,21,0,2,1,1,0,0,2,8,17,69,71,17,0
2017-03-01,9,0,2,1,1,0,0,4,3,4,14,110,22,0
2017-04-01,3,0,1,0,0,0,0,0,5,1,12,111,17,1
2017-05-01,10,0,1,0,0,0,0,0,0,9,8,89,18,0
2017-06-01,1,0,1,2,0,0,0,4,2,0,5,85,18,1
2017-07-01,14,0,2,0,0,0,0,0,4,2,6,88,15,0
2017-08-01,5,0,1,0,0,0,0,0,1,3,8,93,13,0
2017-09-01,9,0,1,0,0,0,0,0,3,4,7,62,21,1
2017-10-01,22,0,2,1,3,0,0,4,1,13,22,69,11,0
2017-11-01,0,0,0,0,0,0,0,0,8,1,41,76,11,0
2017-12-01,0,0,0,0,0,0,0,0,0,2,2,53,13,0
2018-01-01,0,0,0,0,0,0,0,0,3,0,2,58,11,0
2018-02-01,0,0,0,1,0,0,0,2,2,2,2,61,9,0
2018-03-01,0,0,0,0,0,0,0,0,5,0,4,55,13,1
2018-04-01,0,0,0,1,0,0,0,0,3,3,4,54,8,1
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,42,7,0
2018-06-01,3,0,1,0,0,0,0,0,0,1,1,47,9,0
2018-07-01,8,0,1,0,0,0,0,0,2,1,1,45,7,0
2018-08-01,0,0,0,0,0,0,0,0,4,1,4,46,7,0
2018-09-01,3,0,1,0,0,0,0,0,2,0,3,49,9,0
2018-10-01,45,0,2,0,2,0,0,2,1,7,13,40,3,1
2018-11-01,0,0,0,0,0,0,0,0,0,3,2,61,15,1
2018-12-01,9,0,1,0,0,0,0,0,25,4,9,542,62,0
