dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-07-01,7,0,4,3,0,3,3,0,0,7,10,288,11,1
2014-08-01,4,0,1,4,1,2,1,16,0,4,8,27,1,0
2014-09-01,38,0,3,20,3,18,3,46,0,23,27,45,1,5
2014-10-01,23,0,5,12,1,11,3,34,0,14,22,27,2,0
2014-11-01,19,0,3,9,1,8,3,22,1,10,17,4,0,1
2014-12-01,3,0,3,2,0,1,1,5,0,3,3,14,0,1
2015-01-01,24,0,3,13,1,11,2,53,0,13,24,10,6,2
2015-02-01,61,0,7,25,2,20,3,110,4,22,57,24,7,1
2015-03-01,42,0,4,21,2,18,2,149,2,24,79,55,2,3
2015-04-01,54,0,8,23,4,23,3,191,4,39,148,25,9,0
2015-05-01,62,0,8,34,5,26,3,230,5,37,130,18,1,4
2015-06-01,51,0,10,17,1,18,4,75,1,23,50,147,7,4
2015-07-01,57,0,8,23,0,23,4,109,0,29,73,64,5,1
2015-08-01,43,0,9,19,1,17,3,76,1,26,46,22,9,0
2015-09-01,67,0,5,25,2,20,3,139,2,31,76,37,7,0
2015-10-01,117,0,12,48,9,31,4,219,2,50,99,29,16,2
2015-11-01,48,0,8,23,7,15,4,164,2,24,90,42,6,0
2015-12-01,70,0,11,32,6,28,4,165,5,50,152,62,4,1
2016-01-01,14,0,4,8,1,4,3,36,0,6,10,52,8,1
2016-02-01,85,0,11,28,10,25,3,222,3,47,144,41,6,1
2016-03-01,37,0,9,18,0,17,4,69,3,32,94,54,10,0
2016-04-01,54,0,12,22,1,22,2,140,6,35,140,142,21,1
2016-05-01,6,0,3,4,1,2,2,37,1,3,7,61,8,2
2016-06-01,8,0,5,3,1,5,2,50,2,11,58,48,5,0
2016-07-01,18,0,6,18,1,16,2,108,5,22,77,46,9,1
2016-08-01,2,0,2,2,1,2,2,34,3,6,57,65,7,0
2016-09-01,5,0,5,9,0,5,1,37,2,11,27,50,11,0
2016-10-01,10,0,6,7,0,10,2,34,2,11,25,63,10,0
2016-11-01,2,0,2,2,0,2,1,14,2,3,10,53,3,0
2016-12-01,9,0,5,10,0,7,2,56,3,8,19,51,8,0
2017-01-01,8,0,6,5,0,7,2,27,4,10,28,46,10,1
2017-02-01,6,0,5,6,0,5,2,31,1,8,20,48,15,1
2017-03-01,31,0,6,5,1,7,2,53,3,13,55,66,11,0
2017-04-01,3,0,3,5,1,3,1,16,3,10,41,61,9,0
2017-05-01,18,0,5,11,0,10,2,66,3,20,63,85,9,0
2017-06-01,0,0,0,1,0,0,0,5,3,2,5,56,10,1
2017-07-01,5,0,4,4,1,5,2,26,2,7,25,89,3,1
2017-08-01,3,0,3,4,3,3,1,34,2,9,37,74,11,0
2017-09-01,7,0,6,9,1,7,2,29,2,13,38,71,13,2
2017-10-01,3,0,2,5,1,3,2,10,5,4,16,76,8,0
2017-11-01,4,0,3,3,0,3,2,18,6,4,23,71,13,0
2017-12-01,1,0,1,1,0,1,1,6,2,2,4,75,10,0
2018-01-01,6,0,5,7,0,6,2,35,3,10,26,77,18,0
2018-02-01,22,0,5,8,3,5,2,52,4,14,46,78,8,0
2018-03-01,14,0,7,10,1,9,2,43,2,13,33,95,16,0
2018-04-01,0,0,0,0,1,0,0,5,5,5,18,108,14,0
2018-05-01,7,0,4,6,0,3,1,20,4,3,13,95,16,0
2018-06-01,0,0,0,1,0,0,0,1,2,0,0,73,9,1
2018-07-01,16,0,5,7,0,7,2,46,6,11,37,100,17,0
2018-08-01,2,0,2,2,0,2,1,10,3,4,20,97,11,1
2018-09-01,0,0,0,0,0,0,0,0,1,3,7,89,14,0
2018-10-01,3,0,3,4,1,3,1,18,2,5,9,96,16,1
2018-11-01,2,0,1,6,1,2,1,9,5,8,14,94,11,0
2018-12-01,2,0,1,4,0,1,1,17,4,2,14,91,13,0
2019-01-01,1,0,1,1,1,0,0,6,2,5,22,176,16,0
2019-02-01,0,0,0,2,0,0,0,0,5,0,2,107,13,0
2019-03-01,3,0,1,7,2,2,1,31,7,4,16,134,15,0
2019-04-01,4,0,3,3,1,2,1,25,3,6,24,114,15,1
2019-05-01,3,0,3,5,2,3,2,11,6,9,18,98,15,1
2019-06-01,9,0,4,3,0,3,1,10,3,5,8,62,6,0
2019-07-01,7,0,3,4,0,3,1,25,4,6,21,89,9,0
2019-08-01,7,0,3,5,1,2,1,22,7,4,17,108,14,0
2019-09-01,1,0,1,0,0,1,1,4,1,2,8,93,12,0
2019-10-01,8,0,1,11,5,4,1,20,8,18,49,66,9,0
2019-11-01,5,0,2,8,1,2,1,19,10,6,23,111,26,0
2019-12-01,2,0,2,1,0,1,1,4,1,1,2,108,19,0
