dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-12-01,38,0,3,7,3,4,1,14,0,13,36,949,35,3
2015-01-01,69,0,3,8,3,5,1,20,0,16,33,393,23,4
2015-02-01,106,0,1,0,0,0,0,0,0,8,60,151,13,3
2015-03-01,121,0,5,6,2,4,1,32,0,10,23,165,14,1
2015-04-01,21,0,3,2,0,1,1,4,0,3,15,101,12,6
2015-05-01,302,0,2,2,3,0,0,4,0,33,75,62,5,3
2015-06-01,212,0,2,0,0,0,0,0,8,23,144,25,6,1
2015-07-01,222,0,2,0,0,0,0,0,7,46,266,60,4,0
2015-08-01,203,0,5,4,0,4,2,6,37,113,614,102,7,0
2015-09-01,199,0,11,28,14,12,2,208,20,111,441,98,15,1
2015-10-01,133,0,6,10,2,10,1,34,2,69,345,63,5,2
2015-11-01,53,0,5,7,1,6,2,12,5,24,108,32,6,4
2015-12-01,41,0,5,6,0,3,2,54,5,24,115,45,6,2
2016-01-01,77,0,10,26,8,17,2,183,10,72,334,43,12,2
2016-02-01,51,0,4,15,8,10,3,177,9,58,252,27,9,3
2016-03-01,80,0,5,13,3,8,2,82,26,55,468,31,9,1
2016-04-01,50,0,9,13,0,7,2,106,9,27,164,27,7,3
2016-05-01,58,0,7,11,6,10,2,196,1,38,256,29,4,0
2016-06-01,20,0,4,3,1,1,1,62,6,9,87,32,6,2
2016-07-01,10,0,4,12,3,3,1,64,1,14,69,16,7,3
2016-08-01,7,0,2,0,1,0,0,3,2,15,73,23,3,3
2016-09-01,26,0,4,7,3,1,1,45,3,11,36,46,13,1
2016-10-01,7,0,6,3,4,1,1,49,3,10,55,31,7,1
2016-11-01,23,0,4,7,2,5,1,50,0,24,89,31,3,1
2016-12-01,9,0,5,8,1,2,1,44,2,13,75,25,4,1
2017-01-01,7,0,5,7,0,3,2,28,2,8,33,14,7,0
2017-02-01,34,0,7,8,5,13,1,99,2,35,197,63,9,2
2017-03-01,10,0,4,4,3,3,1,27,3,16,76,73,10,2
2017-04-01,2,0,2,10,3,1,1,85,0,10,41,69,15,0
2017-05-01,18,0,7,12,2,10,2,89,1,21,64,43,11,1
2017-06-01,6,0,2,5,1,3,1,34,2,9,33,59,9,1
2017-07-01,27,0,4,4,0,3,2,68,3,14,91,59,7,2
2017-08-01,3,0,3,2,1,2,1,24,6,7,41,70,13,0
2017-09-01,9,0,2,2,1,1,1,26,2,7,18,45,5,3
2017-10-01,71,0,5,8,0,2,2,59,3,11,78,67,13,3
2017-11-01,53,0,6,2,1,3,2,31,6,23,89,64,11,1
2017-12-01,36,0,6,5,1,4,3,29,13,18,90,55,7,0
2018-01-01,54,0,6,13,2,8,2,173,5,21,158,51,8,1
2018-02-01,23,0,7,7,3,8,3,144,3,21,132,78,13,1
2018-03-01,33,0,6,12,4,9,2,90,2,21,90,67,13,0
2018-04-01,18,0,2,7,2,2,2,46,2,10,40,68,7,0
2018-05-01,28,0,5,13,3,10,3,55,4,26,158,58,9,2
2018-06-01,43,0,5,14,2,9,2,104,6,31,273,45,4,0
2018-07-01,65,0,7,15,8,9,2,172,11,42,336,61,11,1
2018-08-01,77,0,9,20,4,14,3,137,7,35,136,80,9,0
2018-09-01,69,0,7,12,4,17,2,145,5,46,284,58,8,1
2018-10-01,28,0,7,17,1,10,1,89,6,24,162,72,7,0
2018-11-01,79,0,6,18,4,16,2,64,8,44,179,78,11,0
2018-12-01,46,0,7,13,3,10,2,72,13,41,265,91,13,2
2019-01-01,30,0,4,4,2,2,1,26,7,7,80,94,12,0
2019-02-01,18,0,3,4,0,2,1,19,3,7,42,69,12,1
2019-03-01,25,0,5,5,0,6,1,10,6,18,77,63,10,1
2019-04-01,2,0,2,3,0,1,1,13,4,5,29,79,5,0
2019-05-01,8,0,4,4,0,2,1,8,3,2,14,63,12,0
2019-06-01,45,0,5,5,1,5,3,12,8,14,56,58,13,0
2019-07-01,26,0,4,6,3,4,2,36,14,22,140,74,16,0
2019-08-01,41,0,6,13,2,7,2,95,10,23,118,99,13,0
2019-09-01,46,0,7,16,3,13,3,79,15,34,206,42,17,1
2019-10-01,16,0,7,11,0,6,2,54,12,16,96,39,13,0
2019-11-01,41,0,8,11,5,9,3,103,14,26,147,32,9,0
2019-12-01,11,0,5,7,1,2,1,15,11,21,115,38,11,0
