dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-08-01,20,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,46,0,1,0,0,0,0,0,0,0,0,16,0,1
2015-10-01,26,0,1,0,0,0,0,0,1,0,6,4,0,2
2015-11-01,202,0,6,11,1,10,1,10,1,30,77,178,4,0
2015-12-01,81,0,5,20,3,15,2,113,2,30,131,133,6,0
2016-01-01,140,0,8,45,5,39,3,202,4,68,203,71,13,1
2016-02-01,90,0,7,32,7,22,3,178,1,63,216,279,9,0
2016-03-01,47,0,5,9,1,12,2,49,0,30,87,44,2,0
2016-04-01,75,0,7,32,4,28,2,237,1,57,193,52,3,1
2016-05-01,16,0,4,10,1,5,1,43,0,25,98,74,3,0
2016-06-01,4,0,1,6,0,4,1,47,2,8,31,36,4,1
2016-07-01,16,0,2,11,1,6,1,53,0,15,43,37,8,0
2016-08-01,57,0,7,16,2,11,1,116,0,25,96,58,4,0
2016-09-01,37,0,9,17,4,15,2,109,1,31,88,28,5,1
2016-10-01,31,0,5,22,6,15,2,98,1,28,67,44,6,0
2016-11-01,6,0,1,3,1,1,1,14,0,13,48,30,6,1
2016-12-01,90,0,10,34,5,33,2,196,1,65,179,82,4,0
2017-01-01,75,0,9,15,1,13,2,153,2,27,128,51,8,0
2017-02-01,245,0,13,108,12,86,2,300,5,151,372,111,18,0
2017-03-01,67,0,10,27,4,27,2,146,6,54,177,84,9,0
2017-04-01,48,0,10,22,4,21,3,144,3,44,121,48,8,0
2017-05-01,69,0,9,33,2,32,3,128,3,51,127,64,3,0
2017-06-01,77,0,10,27,8,26,3,208,2,54,216,63,7,0
2017-07-01,92,0,11,48,12,36,4,148,3,78,192,85,9,1
2017-08-01,101,0,12,43,2,43,3,167,7,78,252,87,14,1
2017-09-01,133,0,14,71,4,59,3,164,2,90,202,46,10,0
2017-10-01,77,0,7,36,3,33,5,70,0,59,73,43,6,0
2017-11-01,82,0,7,27,3,23,5,121,4,38,107,105,6,2
2017-12-01,141,0,8,76,4,64,5,114,6,119,380,122,3,0
2018-01-01,127,0,15,46,9,47,5,201,3,100,323,190,18,0
2018-02-01,65,0,8,46,7,29,3,153,6,51,128,75,11,1
2018-03-01,16,0,5,11,5,7,2,72,3,23,85,114,7,0
2018-04-01,43,0,7,24,6,19,4,110,12,53,155,75,11,0
2018-05-01,99,0,13,41,5,33,3,177,5,74,250,83,11,0
2018-06-01,31,0,7,9,2,11,4,71,0,29,92,82,8,0
2018-07-01,12,0,3,14,4,3,1,109,4,25,124,100,10,0
2018-08-01,30,0,8,15,6,13,3,73,4,28,77,79,15,0
2018-09-01,45,0,5,20,1,15,2,41,5,34,84,105,11,0
2018-10-01,14,0,6,17,3,4,1,111,7,18,100,106,13,0
2018-11-01,20,0,4,12,3,4,1,36,5,14,52,125,7,1
2018-12-01,29,0,1,4,7,3,1,43,0,18,48,106,9,1
2019-01-01,39,0,9,20,12,13,1,104,7,41,135,131,7,0
2019-02-01,24,0,5,13,2,6,2,56,10,14,73,115,10,0
2019-03-01,26,0,6,12,1,6,2,27,3,15,24,127,12,1
2019-04-01,34,0,10,12,1,11,1,35,8,22,52,141,8,0
2019-05-01,19,0,7,13,7,7,2,73,8,23,81,127,9,1
2019-06-01,13,0,4,7,1,5,1,27,7,15,51,111,15,0
2019-07-01,1,0,1,8,2,0,0,45,4,18,63,138,13,0
2019-08-01,27,0,6,9,3,7,1,60,5,25,94,129,12,0
2019-09-01,31,0,7,5,3,7,2,36,6,20,69,128,10,0
2019-10-01,32,0,6,17,5,11,1,57,9,33,85,119,16,0
2019-11-01,10,0,5,9,1,3,1,28,3,15,42,122,14,0
2019-12-01,50,0,8,16,2,16,3,43,7,34,79,166,12,0
