dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-08-01,239,0,3,19,2,17,1,10,0,22,8,12,2,2
2015-09-01,84,0,1,1,0,1,1,0,0,3,2,4,1,2
2015-10-01,178,0,5,12,0,12,1,6,0,18,23,25,5,4
2015-11-01,203,0,5,11,1,10,2,20,0,32,92,26,5,0
2015-12-01,136,0,8,10,3,7,1,22,0,41,100,18,7,1
2016-01-01,79,0,8,6,5,1,1,28,0,52,208,30,7,1
2016-02-01,46,0,7,5,4,1,1,8,0,22,79,21,9,1
2016-03-01,44,0,7,3,3,0,0,12,0,38,119,28,6,3
2016-04-01,97,0,9,3,3,0,0,12,0,66,157,30,9,2
2016-05-01,68,0,10,0,0,0,0,0,0,87,187,46,7,3
2016-06-01,35,0,9,0,0,0,0,0,0,48,96,39,11,2
2016-07-01,22,0,7,3,2,0,0,6,0,35,118,36,8,8
2016-08-01,272,0,16,5,4,2,1,16,0,84,108,49,14,0
2016-09-01,362,0,19,11,6,5,2,16,0,198,484,59,16,4
2016-10-01,223,0,12,10,5,5,2,20,0,110,180,77,13,0
2016-11-01,100,0,15,2,1,1,1,4,0,74,150,54,11,4
2016-12-01,197,0,16,14,4,10,2,20,0,118,179,68,14,2
2017-01-01,92,0,16,63,8,48,2,102,0,92,142,91,17,3
2017-02-01,62,0,17,47,10,28,2,196,0,71,223,61,15,1
2017-03-01,60,0,14,43,14,31,3,104,0,82,151,66,10,6
2017-04-01,157,0,18,81,19,69,3,216,1,121,214,111,19,1
2017-05-01,87,0,16,70,15,45,3,92,0,97,204,99,24,3
2017-06-01,42,0,16,53,13,31,3,159,0,68,122,75,12,2
2017-07-01,59,0,13,56,15,47,2,158,0,97,250,72,10,5
2017-08-01,78,0,17,70,22,55,3,258,0,142,420,85,25,4
2017-09-01,69,0,14,76,14,59,2,113,0,124,287,104,19,3
2017-10-01,92,0,17,51,8,44,3,57,0,93,169,133,27,2
2017-11-01,64,0,12,28,12,14,3,192,0,53,106,101,21,3
2017-12-01,12,0,7,23,9,8,1,72,0,56,114,102,30,3
2018-01-01,105,0,22,49,15,39,4,268,0,114,338,130,32,6
2018-02-01,29,0,13,19,12,15,4,85,1,65,177,120,23,3
2018-03-01,30,0,8,16,9,8,3,47,0,62,153,160,23,1
2018-04-01,34,0,14,30,10,16,3,108,0,82,255,101,24,3
2018-05-01,32,0,11,23,8,17,3,95,0,46,112,121,36,4
2018-06-01,51,0,15,34,13,19,3,106,0,64,158,98,41,0
2018-07-01,19,0,12,15,5,11,4,52,1,45,107,87,28,0
2018-08-01,107,0,21,57,9,46,5,68,4,149,448,133,28,1
2018-09-01,26,0,10,23,8,14,2,84,1,48,144,95,29,3
2018-10-01,26,0,10,20,6,14,4,45,4,51,114,169,18,1
2018-11-01,21,0,12,21,3,10,2,77,4,38,111,110,20,3
2018-12-01,8,0,7,12,4,6,2,30,1,26,52,104,41,0
2019-01-01,3,0,3,6,1,2,2,11,1,19,44,140,45,0
2019-02-01,38,0,10,32,16,23,4,109,1,86,210,98,41,3
2019-03-01,14,0,8,25,12,6,1,48,2,42,95,138,30,3
2019-04-01,61,0,19,42,10,44,3,89,1,100,199,86,31,0
2019-05-01,32,0,14,32,7,20,2,92,6,58,185,140,32,2
2019-06-01,17,0,10,18,5,10,1,66,5,41,117,158,43,3
2019-07-01,12,0,11,25,9,10,2,108,6,40,117,185,45,0
2019-08-01,37,0,17,21,7,21,3,60,3,54,143,169,41,1
2019-09-01,32,0,16,18,3,18,3,43,7,42,133,98,40,1
2019-10-01,16,0,12,29,4,16,3,55,7,53,187,205,64,2
2019-11-01,13,0,12,19,2,13,2,33,14,26,78,167,42,0
2019-12-01,21,0,14,19,4,21,3,78,17,56,165,203,55,1
