dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,5,0,3,0,0,0,0,0,0,0,0,0,0,1
2015-06-01,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2015-08-01,2,0,2,0,0,0,0,0,0,0,0,0,0,1
2015-09-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,34,0,3,0,0,0,0,0,0,2,1,0,0,0
2015-11-01,15,0,3,0,0,0,0,0,0,5,10,1,2,1
2015-12-01,9,0,2,1,0,1,1,4,0,3,11,2,0,1
2016-01-01,17,0,4,8,0,7,1,21,0,7,9,1,3,2
2016-02-01,60,0,6,14,0,14,1,48,0,18,35,753,16,1
2016-03-01,2,0,2,1,1,1,1,5,0,3,9,31,2,1
2016-04-01,5,0,1,0,0,0,0,0,0,4,11,12,0,0
2016-05-01,7,0,2,2,1,1,1,2,0,4,3,18,1,1
2016-06-01,4,0,2,5,2,2,1,27,0,4,11,7,2,0
2016-07-01,2,0,2,1,0,2,1,7,0,3,7,19,1,1
2016-08-01,67,0,5,4,0,4,1,8,0,18,45,23,5,0
2016-09-01,34,0,1,2,0,2,1,8,0,3,8,22,3,0
2016-10-01,25,0,4,23,4,18,2,18,0,27,26,18,2,1
2016-11-01,37,0,7,36,2,31,3,86,0,42,57,21,10,0
2016-12-01,42,0,5,37,2,36,2,108,0,42,71,58,6,1
2017-01-01,51,0,6,24,0,25,4,66,2,42,84,40,4,0
2017-02-01,73,0,6,35,6,28,4,85,1,50,79,67,6,2
2017-03-01,30,0,8,11,0,13,3,93,0,28,83,52,7,0
2017-04-01,63,0,6,23,1,19,2,69,3,41,112,63,13,0
2017-05-01,31,0,3,15,4,11,2,90,1,33,114,46,7,0
2017-06-01,55,0,8,21,2,17,2,96,3,39,117,39,7,0
2017-07-01,98,0,8,42,4,36,1,105,3,64,124,54,11,1
2017-08-01,48,0,9,24,3,22,1,98,4,41,127,48,10,0
2017-09-01,37,0,8,16,3,15,1,79,6,35,132,36,13,2
2017-10-01,17,0,5,10,3,8,2,37,3,20,56,138,8,1
2017-11-01,91,0,15,30,3,27,3,103,4,48,125,110,9,0
2017-12-01,41,0,9,15,2,14,2,27,6,26,54,102,8,0
2018-01-01,26,0,6,11,1,9,1,28,6,23,54,386,15,0
2018-02-01,22,0,8,10,1,8,1,21,7,21,96,97,14,0
2018-03-01,23,0,9,15,4,7,2,39,4,17,46,120,14,0
2018-04-01,23,0,9,11,3,12,1,37,6,28,92,75,11,0
2018-05-01,10,0,7,9,3,2,1,32,8,7,48,112,12,1
2018-06-01,22,0,8,17,0,11,1,26,7,17,37,82,16,0
2018-07-01,38,0,8,8,1,5,1,36,3,19,35,98,14,0
2018-08-01,59,0,9,18,1,14,1,87,8,24,71,99,8,0
2018-09-01,35,0,8,12,4,11,1,65,2,35,82,85,11,0
2018-10-01,53,0,15,29,9,23,1,66,4,56,94,101,28,0
2018-11-01,16,0,8,8,4,8,1,36,9,17,71,215,10,0
2018-12-01,9,0,3,2,1,3,1,12,6,11,46,113,10,0
2019-01-01,6,0,3,3,2,2,1,11,8,7,22,102,6,0
2019-02-01,19,0,7,13,2,7,2,23,2,15,29,79,11,0
2019-03-01,21,0,8,14,1,9,1,54,7,14,36,118,21,0
2019-04-01,65,0,6,23,8,19,1,68,15,32,53,106,12,0
2019-05-01,17,0,6,6,0,5,1,32,13,5,38,169,24,0
2019-06-01,13,0,6,7,0,6,1,38,5,9,34,110,18,0
2019-07-01,25,0,7,15,9,7,1,35,6,24,34,100,14,0
2019-08-01,19,0,5,7,1,8,1,17,2,12,15,174,18,0
2019-09-01,0,0,0,0,0,0,0,0,4,0,5,65,17,0
2019-10-01,5,0,4,3,0,2,1,2,7,6,15,111,14,1
2019-11-01,3,0,2,10,2,2,1,3,31,6,24,303,39,0
