dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-07-01,41,0,5,11,2,9,1,6,0,11,3,253,30,6
2015-08-01,22,0,4,6,0,4,1,2,0,15,11,356,55,2
2015-09-01,38,0,5,8,4,6,1,4,0,15,17,290,32,1
2015-10-01,13,0,3,4,2,2,1,2,0,7,11,77,18,4
2015-11-01,59,0,4,10,4,6,1,10,0,27,50,181,35,3
2015-12-01,35,0,4,10,3,7,1,4,0,30,41,120,45,7
2016-01-01,31,0,4,4,1,2,1,0,0,18,37,76,16,1
2016-02-01,14,0,4,3,1,3,1,4,0,8,3,61,15,0
2016-03-01,14,0,2,2,1,1,1,0,0,9,12,84,14,3
2016-04-01,10,0,3,1,0,1,1,4,1,6,39,60,14,3
2016-05-01,15,0,3,6,1,3,1,16,4,21,50,68,15,3
2016-06-01,13,0,4,5,0,3,1,5,3,13,60,65,13,1
2016-07-01,12,0,5,3,0,2,1,3,5,12,41,73,16,1
2016-08-01,25,0,5,9,4,7,1,26,3,30,83,109,26,4
2016-09-01,15,0,1,0,0,0,0,0,0,12,18,91,12,3
2016-10-01,5,0,1,2,1,1,1,6,3,14,39,82,14,1
2016-11-01,11,0,3,4,1,3,1,0,0,15,33,57,12,2
2016-12-01,9,0,2,2,0,2,1,0,1,14,27,61,20,0
2017-01-01,3,0,2,1,0,1,1,2,2,8,18,40,11,1
2017-02-01,3,0,1,0,0,0,0,0,5,6,50,65,17,1
2017-03-01,7,0,3,2,0,0,0,0,1,4,3,78,13,3
2017-04-01,3,0,1,1,0,1,1,1,0,3,4,79,19,2
2017-05-01,3,0,2,1,0,1,1,2,3,6,30,94,24,0
2017-06-01,1,0,1,0,1,0,0,1,2,3,9,53,13,1
2017-07-01,3,0,2,1,0,2,1,2,1,14,12,81,19,0
2017-08-01,2,0,1,1,0,0,0,1,4,4,19,77,15,0
2017-09-01,6,0,4,3,0,2,1,0,2,8,20,61,11,1
2017-10-01,8,0,2,3,0,2,1,3,3,7,14,80,13,0
2017-11-01,1,0,1,0,0,0,0,0,2,6,12,93,23,0
2017-12-01,2,0,2,2,0,1,1,0,3,8,16,69,21,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,86,15,0
2018-02-01,0,0,0,0,0,0,0,0,1,5,5,39,7,1
2018-03-01,1,0,1,0,0,0,0,0,4,1,13,88,16,0
2018-04-01,8,0,2,3,1,0,0,5,2,3,3,64,16,0
2018-05-01,6,0,2,0,0,1,1,5,3,5,10,66,12,0
2018-06-01,3,0,2,1,0,0,0,1,1,7,14,90,14,0
2018-07-01,2,0,1,1,0,0,0,0,0,3,7,59,13,1
2018-08-01,2,0,1,1,1,1,1,4,2,9,20,96,14,0
2018-09-01,11,0,2,3,1,3,1,9,3,11,18,73,19,0
2018-10-01,11,0,4,4,1,2,1,9,4,9,45,60,16,0
2018-11-01,3,0,2,2,0,2,1,7,4,5,18,78,15,0
2018-12-01,2,0,1,1,0,0,0,1,6,3,21,98,23,0
2019-01-01,2,0,2,2,0,1,1,0,6,1,4,104,20,1
2019-02-01,1,0,1,1,0,0,0,1,2,0,0,73,16,1
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,117,13,0
2019-04-01,6,0,4,4,0,3,1,3,4,5,8,95,24,0
2019-05-01,0,0,0,2,0,0,0,0,6,0,0,93,23,0
2019-06-01,0,0,0,0,0,0,0,0,1,1,0,70,10,0
2019-07-01,0,0,0,1,0,0,0,0,3,1,1,81,18,0
2019-08-01,1,0,1,1,0,0,0,0,5,1,10,98,17,1
2019-09-01,0,0,0,0,0,0,0,0,4,3,7,92,19,0
2019-10-01,0,0,0,0,0,0,0,0,1,0,0,41,7,0
2019-11-01,2,0,2,0,1,0,0,1,3,5,10,86,14,0
2019-12-01,6,0,3,4,0,4,1,0,6,5,3,66,16,0
