dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2012-10-01,345,0,4,0,0,0,0,0,0,0,0,0,0,2
2012-11-01,244,0,6,0,0,0,0,0,0,0,0,0,0,5
2012-12-01,225,0,4,0,0,0,0,0,0,0,0,0,0,2
2013-01-01,140,0,3,0,0,0,0,0,0,0,0,0,0,2
2013-02-01,85,0,3,0,0,0,0,0,0,0,0,0,0,2
2013-03-01,83,0,5,0,0,0,0,0,0,0,0,0,0,3
2013-04-01,111,0,6,0,0,0,0,0,0,0,0,0,0,3
2013-05-01,57,0,5,0,0,0,0,0,0,0,0,0,0,2
2013-06-01,116,0,4,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,10,0,3,0,0,0,0,0,0,0,0,0,0,1
2013-08-01,49,0,3,0,0,0,0,0,0,0,0,0,0,3
2013-09-01,56,0,4,0,0,0,0,0,0,0,0,0,0,1
2013-10-01,66,0,5,0,0,0,0,0,0,0,0,0,0,1
2013-11-01,158,0,5,0,0,0,0,0,0,0,0,0,0,4
2013-12-01,123,0,4,0,0,0,0,0,0,0,0,0,0,3
2014-01-01,33,0,3,0,0,0,0,0,0,0,0,0,0,4
2014-02-01,44,0,5,0,0,0,0,0,0,0,0,0,0,3
2014-03-01,130,0,4,0,0,0,0,0,0,0,0,0,0,1
2014-04-01,85,0,4,0,0,0,0,0,0,0,0,0,0,2
2014-05-01,65,0,3,0,0,0,0,0,0,0,0,0,0,1
2014-06-01,32,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,43,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,101,0,4,0,0,0,0,0,0,0,0,0,0,1
2014-09-01,130,0,4,0,0,0,0,0,0,0,0,0,0,2
2014-10-01,172,0,4,0,0,0,0,0,0,0,0,0,0,1
2014-11-01,23,0,3,0,0,0,0,0,0,0,0,0,0,1
2014-12-01,72,0,4,0,0,0,0,0,0,0,0,0,0,2
2015-01-01,474,0,4,0,0,0,0,0,0,0,0,0,0,1
2015-02-01,62,0,4,0,0,0,0,0,0,0,0,0,0,1
2015-03-01,58,0,6,3,2,0,0,12,0,14,21,718,62,2
2015-04-01,71,0,8,2,0,0,0,8,0,29,74,130,14,1
2015-05-01,177,0,12,1,1,0,0,2,0,44,101,90,19,2
2015-06-01,142,0,7,0,0,0,0,0,0,24,48,58,13,4
2015-07-01,50,0,9,2,0,1,1,1,1,43,130,32,7,2
2015-08-01,67,0,4,0,0,0,0,0,0,23,51,32,4,2
2015-09-01,96,0,5,1,0,0,0,9,1,14,65,57,12,2
2015-10-01,185,0,8,25,0,27,2,93,0,71,271,56,21,2
2015-11-01,166,0,8,18,2,15,2,92,1,57,186,49,11,0
2015-12-01,262,0,9,19,4,17,2,164,1,45,230,46,12,0
2016-01-01,202,0,7,9,1,9,2,53,0,40,184,34,9,0
2016-02-01,154,0,8,9,1,8,2,130,2,28,120,33,6,0
2016-03-01,274,0,14,33,3,30,2,169,5,73,299,45,14,0
2016-04-01,127,0,9,9,2,8,2,73,1,34,120,44,7,2
2016-05-01,141,0,7,12,4,8,3,48,0,43,148,66,12,0
2016-06-01,138,0,7,7,0,6,2,92,0,41,174,38,9,1
2016-07-01,112,0,6,3,0,3,2,10,1,30,146,39,13,1
